gm_code,g_code,label,url,status,fetched_at,sha256,content_length,error
GM1714,G1714,Sluis,https://voteflow.api.nos.nl/GR26/gemeente/G1714.json,200,2026-03-25T10:36:36.781Z,4abd892a42ac0ccc27be66187f04ee35c2c083dc115103e9395d0c0253d77249,2932,
GM0505,G0505,Dordrecht,https://voteflow.api.nos.nl/GR26/gemeente/G0505.json,200,2026-03-25T10:36:50.880Z,efe8db4c1e33765aa79b4cb8520f3fd25489ab23e6a585d72adda6c016114019,4567,
GM0275,G0275,Rheden,https://voteflow.api.nos.nl/GR26/gemeente/G0275.json,200,2026-03-25T10:37:04.885Z,e76d3371272d16bfc8cb52d2d878110a7e4c04c44c8d1c23caeef71be879a508,2909,
GM0090,G0090,Smallingerland,https://voteflow.api.nos.nl/GR26/gemeente/G0090.json,200,2026-03-25T10:37:22.791Z,76555aac3df51a9c27dfe647d896ef191af5e000cd0d4e3d62947724bfc580a1,3204,
GM0879,G0879,Zundert,https://voteflow.api.nos.nl/GR26/gemeente/G0879.json,200,2026-03-25T10:37:36.116Z,a36b90fef3a7b70ad607aed945f2e58fe99f8c8cc518161b9aab72a01b31477d,2269,
GM1721,G1721,Bernheze,https://voteflow.api.nos.nl/GR26/gemeente/G1721.json,200,2026-03-25T10:37:52.432Z,da7b53586dea1bfe0b023dd32c42961660e18fb2f3742a577c06aec05d875c46,2267,
GM1655,G1655,Halderberge,https://voteflow.api.nos.nl/GR26/gemeente/G1655.json,200,2026-03-25T10:38:06.120Z,e2fc2a35a13d922a8950171ed59d754cf32cf14975886de0dd1d7f52c5d8d8f4,2251,
GM0392,G0392,Haarlem,https://voteflow.api.nos.nl/GR26/gemeente/G0392.json,200,2026-03-25T10:38:21.635Z,70f5ccd961d1f3e396084e302cf046afbc4c23b7cdd474384631080952954d82,4792,
GM0164,G0164,Hengelo (O.),https://voteflow.api.nos.nl/GR26/gemeente/G0164.json,200,2026-03-25T10:38:35.478Z,bd032c9260f934f09303a608efb36373456d11179857606ede98ea0a4887488e,4078,
GM0400,G0400,Den Helder,https://voteflow.api.nos.nl/GR26/gemeente/G0400.json,200,2026-03-25T10:38:48.030Z,852d2197ad813e602a9746226686a49cab3cdb78cb905c0e0c88066a1c758cb5,4772,
GM1950,G1950,Westerwolde,https://voteflow.api.nos.nl/GR26/gemeente/G1950.json,200,2026-03-25T10:39:00.964Z,00847bb16227dae45eb32ae4670e294baa3ccc2d54dc6b0fa37421b0b0de6ca2,3160,
GM0221,G0221,Doesburg,https://voteflow.api.nos.nl/GR26/gemeente/G0221.json,200,2026-03-25T10:39:13.958Z,21ec071e5e87a903399eec72b8e16e598a027cec319c2c9bd96137fe85700e5f,2017,
GM0252,G0252,Heumen,https://voteflow.api.nos.nl/GR26/gemeente/G0252.json,200,2026-03-25T10:39:28.360Z,ee9b1937257bbef4ab9f367b0d35036cb88a1d919821e1b44467847683a13ef2,2021,
GM0047,G0047,Veendam,https://voteflow.api.nos.nl/GR26/gemeente/G0047.json,200,2026-03-25T10:39:45.608Z,216794ee076ae92fecb1b474ade5f0f6280c987b60af25d5421fe131560ae3a4,2920,
GM0590,G0590,Papendrecht,https://voteflow.api.nos.nl/GR26/gemeente/G0590.json,200,2026-03-25T10:40:02.680Z,b2eab47765017eca05cfb15e3d3f0ff428a51e974f38b39719da7002cf4f43c0,3203,
GM1916,G1916,Leidschendam-Voorburg,https://voteflow.api.nos.nl/GR26/gemeente/G1916.json,200,2026-03-25T10:40:15.248Z,ad539209a473db4f517f0309f161dbe6ca98ddcfb100793432ec3e6fccec6935,2943,
